,a,v,t,complex_a,complex_v,complex_t,simple_a,simple_v,simple_t
4000,2.50015075444,0.800543725875,2.26312550165,2.13544568302,0.812289944519,2.73158370911,2.76235618317,0.833558361165,1.92815032154
4017,1.94230643374,0.805215650421,0.995828870569,1.97959281962,0.504411220437,1.14391092551,1.79905385793,1.3812297163,1.02344164839
4020,2.68824971449,0.714893630275,1.65286996633,2.5299380514,0.594511551754,2.18992485188,2.67983650203,0.911379120896,1.43380662006
4021,3.36732232495,1.23967558406,1.87191846187,2.73864774663,1.03453003313,2.4190051053,3.12254059439,1.2330176295,1.82295683255
4026,3.26861106383,1.19684567207,0.48485877096,3.05939181012,1.05212932003,0.878413998788,2.54291114194,1.53045862827,0.575623022794
4028,2.43562212475,0.827264213142,1.54023626516,2.56179770371,0.95337232594,2.00694373631,1.8751208341,0.909140393107,1.46109599894
4034,3.01512349484,1.2974669237,0.888098840859,3.19859982065,1.21672622908,0.900988420558,2.41895138294,1.33069058253,1.00708773953
4043,2.36004407307,1.05290688345,1.09425434431,2.13118736409,0.955749814201,1.09436190732,2.70039741111,1.19200078167,1.0802957304
4045,3.06496194971,1.51216526152,0.830188897199,2.78248321605,1.41306355777,1.17069519859,2.38962404689,1.64537414906,0.832649678662
4047,2.95756418019,1.02940198496,1.75576444855,2.56900033091,1.1028466248,2.51181690879,2.98413632646,1.07866245799,1.45478672775
4050,2.95854338406,1.0879934505,1.79539424467,2.93605604098,1.09632642564,2.2771604807,2.46984559399,1.30327006381,1.71301191136
4065,2.88982494873,1.09973921837,1.61144951651,3.29046842781,1.17009103299,1.77309604912,2.31949254651,1.07131478113,1.60383386524
4074,2.04814057174,2.2628959419,0.941481226097,1.98258114596,1.98318522333,0.95195413441,1.65291012428,2.37872923334,1.00400429394
4076,2.51338926085,1.10312746435,1.05198073925,2.31703447338,1.05408316683,1.44299376964,2.54109561903,1.26672754884,0.846979215095
4078,2.28251141145,1.07944837789,1.26162873241,2.52291564582,1.25967502545,1.27128127238,2.15914490533,0.943374352611,1.23149542906
464,3.50656487678,1.32172914265,0.902753136925,3.36060410557,1.16997584637,1.11662956782,2.64916313677,1.48417648507,1.05177976563
